doc_id,court_code,judgment_code,justice_kind,category_code,cause_num,adjudication_date,receipt_date,judge,doc_url,status,date_publ
71352417,712,5.0,2.0,2002.0,308/8903/13-к,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Придачук О. А.,http://od.reyestr.court.gov.ua/files/35/f3b9c4886e49f30ab79d2f614905aa26.rtf,1,2018-01-04 00:00:00+02
71352281,712,5.0,2.0,2002.0,308/8903/13-к,2017-06-07 00:00:00+03,2018-01-02 00:00:00+02,Придачук О. А.,http://od.reyestr.court.gov.ua/files/35/e9a1e3e7bcf1e575e37da7550c201b5a.rtf,1,2018-01-04 00:00:00+02
71352198,705,5.0,2.0,5189.0,301/2206/17,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Маркович І. І.,http://od.reyestr.court.gov.ua/files/35/043e24a97c0e0ba8c2826c0483c68faf.rtf,1,2018-01-04 00:00:00+02
71392091,2221,2.0,2.0,2002.0,689/2212/17,2017-11-14 00:00:00+02,2018-01-02 00:00:00+02,Баськов М. М.,http://od.reyestr.court.gov.ua/files/35/62f95cf5fd4778fe9d3aca76e8717f54.rtf,1,2018-01-04 00:00:00+02
71368729,2610,5.0,2.0,2002.0,761/46465/17,2017-12-26 00:00:00+02,2018-01-02 00:00:00+02,Циктіч В. М.,http://od.reyestr.court.gov.ua/files/35/0b1ecce512373cea1ce5c7e2ed75d671.rtf,1,2018-01-04 00:00:00+02
71367033,2603,5.0,2.0,2002.0,755/1562/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Вінтоняк Р. Я.,http://od.reyestr.court.gov.ua/files/35/1cb01fe7c9b516c41fdecf05539239c7.rtf,1,2018-01-04 00:00:00+02
71386463,2090,5.0,2.0,2002.0,640/2116/16-к,2017-12-21 00:00:00+02,2018-01-02 00:00:00+02,Грошева О. Ю.,http://od.reyestr.court.gov.ua/files/35/2f3623a1bed74f8204452d7e1348644a.rtf,1,2018-01-04 00:00:00+02
71386565,2030,1.0,2.0,2002.0,631/771/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Афанасьєв В. О.,http://od.reyestr.court.gov.ua/files/35/0feaf2a23e26c494e64aa859b44c1ae5.rtf,1,2018-01-04 00:00:00+02
71385805,2033,5.0,2.0,2002.0,645/1749/16-к,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Горпинич О. В.,http://od.reyestr.court.gov.ua/files/35/2b2d8e79d343f5575aafed25cb718650.rtf,1,2018-01-04 00:00:00+02
71372822,1511,5.0,2.0,2002.0,509/500/16-к,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Журавель П. І.,http://od.reyestr.court.gov.ua/files/35/7283b3e5f3368ae1421eeb0eaeb27f3a.rtf,1,2018-01-04 00:00:00+02
71376153,2107,5.0,2.0,2002.0,653/504/16-к,2016-10-19 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/8495c43b37213e69885bea40a2a6b316.rtf,1,2018-01-04 00:00:00+02
71376233,2107,5.0,2.0,2002.0,653/504/16-к,2017-07-13 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/79aa17e64ecb5af148ac94162de7c657.rtf,1,2018-01-04 00:00:00+02
71376243,2107,5.0,2.0,2002.0,653/504/16-к,2017-04-14 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/6938d56b75640409242d72686a0b769d.rtf,1,2018-01-04 00:00:00+02
71366054,2390,10.0,2.0,2002.0,694/1343/16-к,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Биба І. А.,http://od.reyestr.court.gov.ua/files/35/3d9f58b58b5766c2b083d1f32f4c702d.rtf,1,2018-01-04 00:00:00+02
